timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.971888181122073869e-01,0.000000000000000000e+00,7.492970727274234077e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e+00,2.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.001773071595945475e-02,5.995984235134525081e-02,2.012020678099197823e+00,9.971634584179183136e-01,3.634981346554035271e-03,7.484228319007583952e-02,7.103291738580718578e-03,1.000811379154019187e+00,1.198652430408796654e+00,2.409400575051403315e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000441557470904269e-01,1.198420552619471613e-01,2.024084233144832989e+00,9.970715713756426180e-01,7.113184092401757079e-03,7.481401596037107193e-02,1.416146823093388137e-02,9.998837758597476366e-01,1.196513651903799769e+00,2.411547295715582573e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,1.590941337400398337e-01,1.723082809989162911e-01,2.048697692034584072e+00,9.962933238157288818e-01,3.955111731393921859e-03,8.120010556326441586e-02,2.811606067560169439e-02,1.071151605434647491e+00,1.152374135479457440e+00,3.264390802721024443e-01,-7.616611855827239499e-04,3.848726310849534711e-04,-8.878180996376854343e-04,2.089548045282362161e-03,4.819171689881482368e-03,1.700011507398714160e-03
2.000000000000000111e-01,2.105257131602780440e-01,2.320797023286690908e-01,2.065908783126573223e+00,9.960577941460677653e-01,6.326255971878151120e-03,8.188548824634525602e-02,3.352038217123767816e-02,1.067258054196056349e+00,1.162922818632703192e+00,3.322287764934986898e-01,-8.702341362871049771e-04,-1.840084485954460993e-04,-1.466859641324834646e-03,2.651955283250709023e-03,6.499475376809789318e-03,2.434694686057536570e-03
2.500000000000000000e-01,2.517321445050746953e-01,3.066834409956055163e-01,2.055639322148382409e+00,9.968381086712844175e-01,1.047752287348258267e-02,7.079211199853488456e-02,3.453235430548127344e-02,1.000113039887752464e+00,1.226116348172426873e+00,2.246090333717029042e-01,-9.173232589969227031e-04,-2.987801381092467477e-03,3.743709917900414977e-03,1.392432697430245198e-02,2.072217824987753268e-02,6.436336925123370238e-03
3.000000000000000444e-01,2.984739184659797040e-01,3.653508904782735711e-01,2.065790430395777477e+00,9.963383442588314987e-01,1.555593752017748674e-02,7.322587904380720158e-02,4.130238740920869761e-02,9.939569261436992376e-01,1.205719055828723185e+00,2.201498140106347146e-01,-1.946405594248546865e-03,-1.886178739553801519e-03,1.108763129443234366e-03,2.329887008542886467e-02,1.939626817354569294e-02,9.400783378079235683e-04
3.500000000000000333e-01,3.432414199424317358e-01,4.208761736634186734e-01,2.078753451766797600e+00,9.959675139229883234e-01,1.900731233481832774e-02,7.225754913401630231e-02,4.966165403018533986e-02,9.799366671147805574e-01,1.181845120131349791e+00,2.283551185526527805e-01,-1.540446038372385784e-03,-1.680077185872801832e-03,1.908570090255858401e-03,2.289988956965898631e-02,1.594350258908468210e-02,1.941170242272025450e-03
4.000000000000000222e-01,3.921426911497041812e-01,4.796564655320671999e-01,2.090195904565484319e+00,9.955968994270358863e-01,2.208718763657060991e-02,7.119141676789039752e-02,5.683970594716409447e-02,9.754434341790855223e-01,1.170157043286138343e+00,2.294746072769816569e-01,-1.540446038372385784e-03,-1.680077185872801832e-03,1.908570090255858401e-03,2.289988956965898631e-02,1.594350258908468210e-02,1.941170242272025450e-03
4.500000000000000111e-01,4.364554148249594201e-01,5.483288706411960645e-01,2.107719347046205449e+00,9.953567623435378708e-01,2.081433545855146047e-02,6.903681308466325106e-02,6.376203835764651662e-02,9.530664344821534462e-01,1.199421173309808131e+00,2.441438972224612147e-01,-1.162361184541123261e-03,-2.661651526676875844e-03,4.361188825924133122e-03,2.524012302911145950e-02,1.400522730125456500e-02,-4.068411229240673395e-03
5.000000000000000000e-01,4.949744387231961862e-01,5.713647374360139031e-01,2.113683968935033075e+00,9.945561133876088533e-01,3.432745564163370428e-02,6.441140903576393628e-02,7.437024605669174948e-02,9.524985992203692797e-01,1.054433982291613336e+00,2.189023436897907238e-01,-4.968387075373627802e-03,1.555150153680040850e-03,4.639887441227595610e-02,3.741023465113928193e-02,7.834910457985320292e-03,-1.279199301277697196e-04
5.500000000000000444e-01,5.608147558496784368e-01,6.462412205115067865e-01,2.134281554903217692e+00,9.944771326373854636e-01,2.763868433372825006e-02,6.464532993658665683e-02,7.792507367346228342e-02,9.738702933075631396e-01,1.118661635764114370e+00,2.336075362791222854e-01,-4.258888503930445719e-03,3.529664218986689524e-03,5.767972443759868811e-02,4.451016828119261359e-02,-3.827418603133021791e-03,-6.052368165868831501e-03
6.000000000000000888e-01,6.169998297574962320e-01,6.961418299419882549e-01,2.143262243418538660e+00,9.943266265241812452e-01,2.845040829901012217e-02,6.535275372207079159e-02,7.895664401178248415e-02,9.848712851417961156e-01,1.105553857708132082e+00,2.265466602204252722e-01,-6.627331549296502575e-03,7.148135321587414590e-04,6.391359718359311548e-02,4.610685813829169116e-02,-6.606003479996234648e-03,-4.610211148296128325e-03
6.500000000000000222e-01,6.610585977852920792e-01,7.369285162999591465e-01,2.152330179904624607e+00,9.939361262926477147e-01,2.925083661239416891e-02,6.396298452508863974e-02,8.452278993552080066e-02,9.643873996479912503e-01,1.079759469710019903e+00,2.252500141737129313e-01,-6.177960757869940984e-03,6.788683415924717628e-05,4.965118759579104785e-02,4.657691892128452971e-02,-7.933013883853742843e-03,-5.115271043441481542e-03
7.000000000000000666e-01,7.004469764871413817e-01,7.756588264958836909e-01,2.160795080967715887e+00,9.934935623743279542e-01,2.985680505327662979e-02,6.224138458975280591e-02,9.058213265941826575e-02,9.362374514134517156e-01,1.056265636031548771e+00,2.287636617801914185e-01,-7.710135741257657591e-03,-3.651142227254313040e-03,2.538458274584663374e-02,4.685161408413300588e-02,-8.433696140814845102e-03,-5.371657551134723964e-03
7.500000000000000000e-01,7.420366998293977945e-01,8.115720675573344645e-01,2.169989297566307762e+00,9.932880518547595461e-01,3.060530039859030160e-02,5.973169332193632719e-02,9.420343116353538382e-02,9.085054039264075509e-01,1.035101020383785375e+00,2.275415300352784664e-01,-1.301841688881262213e-02,-5.929950938710782521e-03,9.447029010676004368e-03,4.695610574238371498e-02,-9.195972322085218045e-03,-5.025782044001524118e-03
8.000000000000000444e-01,7.991805641365173907e-01,8.530981576403340316e-01,2.178345319820714110e+00,9.932703442604169375e-01,3.150480937865065417e-02,5.910377849917208132e-02,9.448922460221903519e-02,9.135449999846877445e-01,1.022590241637745478e+00,2.242898976340125250e-01,-1.745024692812618267e-02,-1.897805843998772585e-03,5.433497704232651167e-03,4.733732052540786522e-02,-1.062963805965274830e-02,-4.048222723821779181e-03
8.500000000000000888e-01,8.577683592011173808e-01,8.864545841732365261e-01,2.183496089960398123e+00,9.932742289302899374e-01,3.258819511594958362e-02,5.937664175611847422e-02,9.390809387794221696e-02,9.284859966731545677e-01,9.992739353455734053e-01,2.182380376418543988e-01,-2.491756449812071450e-02,7.669537483786932966e-03,1.989033578731799323e-03,4.728412944264297896e-02,-1.198163864550432466e-02,-3.484830791714839913e-03
