timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,9.999500004166652634e-01,9.999833334166664464e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,3.001617932026847194e-02,2.486499106471027327e-05,1.502523870013747986e+00,9.999490519372294939e-01,1.009362414100729334e-02,-3.454231538343732484e-05,1.053013035161503506e-04,6.007617004256329274e-01,1.606244355001940115e-03,5.111587080935572902e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,6.004470900052557431e-02,1.739680473488261253e-04,1.505098580344905956e+00,9.999495744807427311e-01,1.004075059501307286e-02,8.754101604917265936e-05,1.554343614264301285e-04,6.001319801736244575e-01,4.598414818492014070e-03,5.139659006279642672e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,9.010884213997576164e-02,4.325101399061087701e-04,1.507734906140376641e+00,9.999491245476088697e-01,1.007430851120264328e-02,2.692561638575272629e-04,4.290986014754392692e-04,6.020733970294057658e-01,6.497611146647004794e-03,5.373361287796538793e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.202143875554930602e-01,-4.233315446889814732e-03,1.508829899206947101e+00,9.999392463835831135e-01,1.094827339103398786e-02,9.417730580533776132e-05,1.276707571072969267e-03,6.011750731433627148e-01,-2.011752211698355011e-02,4.721006374653385906e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
2.500000000000000000e-01,1.502594472863099384e-01,-5.170875997841796294e-03,1.511216229617765805e+00,9.999383508379002805e-01,1.100224913904680572e-02,3.046652048806881776e-04,1.467043481120720860e-03,6.019707844367114813e-01,-1.754759896151886558e-02,4.809333129733914941e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
3.000000000000000444e-01,1.803035796700786231e-01,-6.062370918871886651e-03,1.513577337347558505e+00,9.999392195786395154e-01,1.090722463957614907e-02,3.391169480598621531e-04,1.573085763276969732e-03,6.007009103780784898e-01,-1.725219474238925271e-02,4.721604215569794732e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
3.500000000000000333e-01,2.104009356541026443e-01,-6.916502389518620203e-03,1.516046141604721953e+00,9.999380456885171853e-01,1.099829553449602378e-02,2.247708264929297638e-04,1.700516992045719667e-03,6.025070864321039332e-01,-1.741139771587735252e-02,5.115195827562041969e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
4.000000000000000222e-01,2.404927653191150094e-01,-7.827033392781717475e-03,1.518644059364665067e+00,9.999352438022520717e-01,1.122418099828867075e-02,2.732019925290461357e-04,1.857773861311475330e-03,6.007324019442564778e-01,-1.791271015898264832e-02,5.282550313300797551e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
4.500000000000000111e-01,2.704603836622586632e-01,-8.681710793346149660e-03,1.521341492833487186e+00,9.999340284121588374e-01,1.131403132037774040e-02,3.022421882637820433e-04,1.959634754984819049e-03,5.978255855485982151e-01,-1.683873689317075262e-02,5.489447249553637553e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
5.000000000000000000e-01,3.003058475421016005e-01,-9.555813656030316683e-03,1.524106263960638197e+00,9.999306111543653230e-01,1.159485973358655511e-02,3.507096191185270001e-04,2.051610825450498905e-03,5.967327450054306093e-01,-1.858845604474345867e-02,5.476016589468803153e-02,4.794197440379429904e-06,2.360887587981168084e-04,3.477311748399298011e-05,-6.283759366174971293e-04,-6.784447180163623477e-04,2.073383376326742161e-03
5.500000000000000444e-01,3.415857768984748022e-01,-9.878198054804094783e-03,1.524790667856190218e+00,9.999271920092893673e-01,1.066701036456436935e-02,3.699845504050633914e-03,4.258722055513800529e-03,6.312948642404215827e-01,-1.559386663678977505e-02,4.776791977573070086e-02,-6.709137612107853553e-04,6.115358762829399466e-04,2.098402630429316296e-02,3.086604499476927003e-03,-6.971325508310128802e-03,-5.263371158184797054e-03
6.000000000000000888e-01,3.775933932330198806e-01,-1.357328279750721726e-02,1.531936820814470357e+00,9.999291922450818104e-01,9.987972342345843857e-03,3.497826578190869201e-03,5.442068891114665123e-03,6.374566583089047445e-01,-1.688394112751046353e-02,5.856328262384757899e-02,8.100882268429723983e-04,-7.943138541643263422e-05,1.730899328096495438e-02,3.622464794631024762e-03,-8.080945933333492925e-03,-6.179626342158590219e-03
6.500000000000000222e-01,4.065060187821448179e-01,-1.477084612401713057e-02,1.537274864588738188e+00,9.999178857426651579e-01,9.801559067329898220e-03,5.137042501361003578e-03,6.462352985345924845e-03,6.432641385426870473e-01,-1.504749183866879551e-02,6.636770004164642411e-02,2.210561196210074006e-03,-2.476273869346167183e-04,6.594761926823832290e-03,4.060064343790846866e-03,-8.626245274441075167e-03,-6.167277281645898099e-03
7.000000000000000666e-01,4.352816008882489651e-01,-1.711364387079831323e-02,1.542392195054354209e+00,9.998899653369123230e-01,1.050551677220481171e-02,8.064302668916488795e-03,6.682690952091640581e-03,6.586134341670929482e-01,-2.161619319896260910e-02,7.639539114167817613e-02,2.572011673991270696e-03,8.654673123392747506e-05,-9.015056546640727933e-03,4.590751681465769785e-03,-9.110484186201981208e-03,-6.119872498275866907e-03
7.500000000000000000e-01,4.479283775329259698e-01,-1.815159324688603651e-02,1.548232612857561641e+00,9.998743043221433036e-01,1.032062572857187811e-02,1.027251593479898244e-02,6.271814510162644456e-03,6.517795818219520587e-01,-1.800159756134098871e-02,8.620458411782394581e-02,2.978900197312300650e-03,-2.126706898710366343e-04,-3.209614766282860299e-02,4.993887038828701344e-03,-9.705255176725567645e-03,-6.128582360854308714e-03
8.000000000000000444e-01,4.443256514241210597e-01,-1.937398236584557398e-02,1.553351910916965339e+00,9.998839978650269078e-01,1.005355667060550164e-02,1.045997729760172849e-02,4.637422415014857968e-03,6.127771019105445749e-01,-1.531741641999564627e-02,9.298119255854088439e-02,2.538906303241461083e-03,-1.683004909333485235e-04,-4.207597782617274185e-02,5.073642507477348074e-03,-1.020726493696191145e-02,-6.122459386825660280e-03
